pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,177,
Colombia,Lugar origen,Obras,105,
Peru,Lugar origen,Obras,55,
Ecuador,Lugar origen,Obras,13,
Bolivia,Lugar origen,Obras,32,
Venezuela,Lugar origen,Obras,16,
Argentina,Lugar origen,Obras,7,
Brazil,Lugar origen,Obras,,
Chile,Lugar origen,Obras,1,
Guatemala,Lugar origen,Obras,4,
Nicaragua,Lugar origen,Obras,,
Puerto Rico,Lugar origen,Obras,1,
Cuba,Lugar origen,Obras,,
Honduras,Lugar origen,Obras,,
United States,Lugar origen,Obras,,
Dominican Rep.,Lugar origen,Obras,,
Paraguay,Lugar origen,Obras,,
Spain,Lugar origen,Obras,,
